gm,game_date,result,r,ra,run_diff
123,2025-08-16,W,6,0,6
122,2025-08-15,W,3,2,1
121,2025-08-13,L,5,6,-1
120,2025-08-12,L,6,7,-1
119,2025-08-11,L,4,7,-3
118,2025-08-10,L,4,5,-1
117,2025-08-09,W,9,1,8
116,2025-08-08,W,5,1,4
115,2025-08-06,L,3,5,-2
114,2025-08-05,W,12,6,6
113,2025-08-04,L,2,3,-1
112,2025-08-03,W,3,0,3
111,2025-08-02,L,0,4,-4
110,2025-08-01,W,5,0,5
109,2025-07-30,L,2,5,-3
108,2025-07-29,W,5,4,1
107,2025-07-28,W,5,2,3
106,2025-07-27,L,3,4,-1
105,2025-07-26,L,2,4,-2
104,2025-07-25,W,5,2,3
103,2025-07-23,W,4,3,1
102,2025-07-22,L,7,10,-3
101,2025-07-21,W,5,2,3
100,2025-07-20,L,5,6,-1
99,2025-07-19,L,7,8,-1
98,2025-07-18,L,0,2,-2
97,2025-07-13,W,5,2,3
96,2025-07-12,W,2,1,1
95,2025-07-11,L,7,8,-1
94,2025-07-09,L,2,3,-1
93,2025-07-08,L,1,3,-2
92,2025-07-07,L,1,9,-8
91,2025-07-06,L,1,5,-4
90,2025-07-05,L,4,6,-2
89,2025-07-04,L,1,18,-17
88,2025-07-03,W,6,2,4
87,2025-07-02,W,5,4,1
86,2025-07-01,W,6,1,5
85,2025-06-29,W,5,1,4
84,2025-06-28,L,5,9,-4
83,2025-06-27,W,5,4,1
82,2025-06-26,W,3,1,2
81,2025-06-25,W,8,1,7
80,2025-06-24,W,9,7,2
79,2025-06-22,W,13,7,6
78,2025-06-21,L,3,7,-4
77,2025-06-20,W,6,5,1
76,2025-06-19,L,3,5,-2
75,2025-06-18,W,4,3,1
74,2025-06-17,W,8,6,2
73,2025-06-16,W,6,3,3
72,2025-06-15,W,5,4,1
71,2025-06-14,W,11,5,6
70,2025-06-13,L,2,6,-4
69,2025-06-11,W,5,2,3
68,2025-06-10,L,1,11,-10
67,2025-06-09,W,8,7,1
66,2025-06-08,W,7,3,4
65,2025-06-07,L,1,2,-1
64,2025-06-06,L,0,5,-5
63,2025-06-05,W,6,5,1
62,2025-06-04,L,1,6,-5
61,2025-06-03,W,6,5,1
60,2025-06-02,L,3,4,-1
59,2025-06-01,L,3,7,-4
58,2025-05-31,W,18,2,16
57,2025-05-30,W,8,5,3
56,2025-05-28,L,4,7,-3
55,2025-05-27,W,9,5,4
54,2025-05-26,W,7,2,5
53,2025-05-25,L,1,3,-2
52,2025-05-24,L,2,5,-3
51,2025-05-23,W,7,5,2
50,2025-05-21,W,3,1,2
49,2025-05-20,W,4,3,1
48,2025-05-19,L,5,9,-4
47,2025-05-18,L,4,6,-2
46,2025-05-17,L,9,11,-2
45,2025-05-16,L,2,6,-4
44,2025-05-15,W,19,2,17
43,2025-05-14,W,9,3,6
42,2025-05-13,L,1,11,-10
41,2025-05-11,W,8,1,7
40,2025-05-10,L,0,3,-3
39,2025-05-09,W,14,11,3
38,2025-05-08,L,3,5,-2
37,2025-05-07,W,10,1,9
36,2025-05-06,L,4,5,-1
35,2025-05-05,W,7,4,3
34,2025-05-04,L,3,4,-1
33,2025-05-03,W,10,3,7
32,2025-05-02,W,2,1,1
31,2025-04-30,W,12,7,5
30,2025-04-29,W,15,2,13
29,2025-04-28,W,7,6,1
28,2025-04-27,W,9,2,7
27,2025-04-26,W,8,4,4
26,2025-04-25,L,0,3,-3
25,2025-04-23,L,6,7,-1
24,2025-04-22,L,10,11,-1
23,2025-04-20,W,1,0,1
22,2025-04-19,L,3,4,-1
21,2025-04-18,W,3,0,3
20,2025-04-16,W,8,7,1
19,2025-04-15,W,6,2,4
18,2025-04-14,W,5,3,2
17,2025-04-13,L,2,4,-2
16,2025-04-12,L,0,16,-16
15,2025-04-11,W,3,0,3
14,2025-04-09,W,6,5,1
13,2025-04-08,L,2,8,-6
12,2025-04-07,L,4,6,-2
11,2025-04-06,L,7,8,-1
10,2025-04-05,W,3,1,2
9,2025-04-04,L,2,3,-1
8,2025-04-02,W,6,5,1
7,2025-04-01,W,3,1,2
6,2025-03-31,W,6,1,5
5,2025-03-29,W,7,3,4
4,2025-03-28,W,8,5,3
3,2025-03-27,W,5,4,1
2,2025-03-19,W,6,3,3
1,2025-03-18,W,4,1,3
