x,z,vel,pt,swing,ball,hit,z1,z3,lhb,rhb,behind,ahead,even,ts,gd,pid,showVideo,pitch_type_abbr
0.22,2.77,98.3,FF,1,0,0,5,5,0,1,1,0,0,0,2025-06-16T00:00:00.000Z,cfa66b2a-5326-304c-bb83-ad6c3bcb7193,True,FF
1.5,1.44,98.6,FF,1,0,0,14,29,1,0,1,0,0,0,2025-06-16T00:00:00.000Z,cb066425-d35e-3945-abd1-a98b860e217b,True,FF
1.12,1.89,99.1,FF,0,1,0,14,26,1,0,0,1,0,1,2025-06-16T00:00:00.000Z,0c3b7c68-cc37-32ce-b766-43f115f2c187,True,FF
2.04,0.78,98.3,FF,0,1,0,14,39,1,0,0,0,1,0,2025-06-16T00:00:00.000Z,adef9c65-8ba1-3953-82da-0d2dc267cf58,True,FF
1.25,1.1,100.2,FF,0,1,0,14,29,1,0,0,1,0,1,2025-06-16T00:00:00.000Z,49651ef4-b408-36a7-9abe-eb46d410ddf3,True,FF
1.22,2.68,99.9,FF,0,1,0,14,26,0,1,0,0,1,1,2025-06-16T00:00:00.000Z,ff929797-4003-3ede-8596-ebff6bcd6a19,True,FF
0.95,2.53,99.1,FF,0,1,0,14,16,0,1,0,1,0,0,2025-06-16T00:00:00.000Z,c856959b-aacf-3f0f-94c1-ed0bbf493692,True,FF
0.91,1.92,98.9,FF,0,0,0,14,16,1,0,1,0,0,1,2025-06-16T00:00:00.000Z,23b71312-9edb-3d66-8cbd-b648e677d6b6,True,FF
-0.41,2.59,99.1,FF,0,0,1,4,4,0,1,1,0,0,1,2025-06-16T00:00:00.000Z,ab432edf-2245-3da2-85bf-81b81ad16b19,True,FF
-0.19,2.51,86.4,ST,0,0,0,5,5,1,0,0,1,0,1,2025-06-16T00:00:00.000Z,edde20d5-b733-3344-a7a0-119cd5207c97,True,ST
1.08,0.79,87,ST,0,1,0,14,29,1,0,0,0,1,1,2025-06-16T00:00:00.000Z,08bf5986-9903-36aa-a9fa-edd878ef8baf,True,ST
-0.38,2.54,88.8,ST,0,0,0,4,4,1,0,0,0,1,1,2025-06-16T00:00:00.000Z,32bf0ff7-a319-3c1b-9388-d18743fd0d9b,True,ST
0.2,2.96,86.5,ST,0,0,0,5,5,0,1,0,0,1,0,2025-06-16T00:00:00.000Z,f4d933ea-ce71-33e2-8c19-df54199bfb5b,True,ST
0.65,1.11,84.2,ST,1,0,0,14,29,1,0,0,0,1,0,2025-06-16T00:00:00.000Z,a86716ff-4ed9-3e86-906f-760e5eccc6cd,True,ST
1.89,2.5,88.4,ST,0,1,0,14,36,0,1,0,1,0,1,2025-06-16T00:00:00.000Z,33d666a2-e1e9-3fc0-ac90-c94b2fbe4145,True,ST
1.01,2.4,86.5,ST,0,0,0,14,16,0,1,0,0,1,0,2025-06-16T00:00:00.000Z,466593a8-40ef-3056-a074-0418585656ef,True,ST
-0.11,1.64,86.4,ST,0,1,0,13,18,0,1,0,0,1,0,2025-06-16T00:00:00.000Z,1af2ea7f-cfa5-3a52-b5bc-ec7d3bbeea20,True,ST
0.94,1.76,83.9,ST,0,0,0,14,16,0,1,0,0,1,0,2025-06-16T00:00:00.000Z,661245c5-a974-3ada-8782-ee522352bc67,True,ST
1.43,1.86,88.3,ST,0,0,0,14,29,0,1,1,0,0,1,2025-06-16T00:00:00.000Z,b1b81a5e-3702-3793-a07b-28a4eea435dc,True,ST
-0.02,0.61,91.3,FS,0,1,0,13,28,1,0,0,1,0,1,2025-06-16T00:00:00.000Z,42ddfd0e-1f8a-34e9-8ee7-4e0afb772653,True,FS
-0.48,1.39,95.6,SI,0,1,0,13,18,0,1,0,1,0,0,2025-06-16T00:00:00.000Z,dbc8b222-5ed1-3f39-af88-8f76742b81d2,True,SI
1.54,0.32,98.5,SI,0,1,0,14,39,0,1,1,0,0,0,2025-06-16T00:00:00.000Z,b51e994f-bb31-3843-a9c5-238f032186e8,True,SI
0.75,1.72,97.4,SI,0,0,0,9,16,1,0,0,0,1,0,2025-06-16T00:00:00.000Z,5fc9ece1-73de-3c1d-81c1-bc532623ec1e,True,SI
0.88,1.73,98.8,SI,0,0,0,14,19,1,0,0,1,0,0,2025-06-16T00:00:00.000Z,497f45eb-7390-3d90-b2a0-ac8b0ff35d1e,True,SI
-0.22,2.36,97.6,SI,0,0,0,8,8,0,1,0,0,1,0,2025-06-16T00:00:00.000Z,0355a433-20f9-3788-b7c3-5d511b2072f7,True,SI
-0.05,1.48,98.1,SI,0,1,0,13,18,0,1,0,1,0,0,2025-06-16T00:00:00.000Z,98966232-8707-36cd-a7f3-45543ae82a41,True,SI
-0.17,2.23,95.4,SI,0,0,0,8,8,0,1,0,0,1,0,2025-06-16T00:00:00.000Z,5267afd6-f6c8-35e8-b57c-b9f2f332f32f,True,SI
0.33,1.48,98,SI,0,0,1,9,18,1,0,0,0,1,1,2025-06-16T00:00:00.000Z,0cb8c252-5f68-335e-a38d-bdf8b50088cd,True,SI
